id,weights,attention_to_politics,pres_vote,economy,immigration,crime,party_id,age,educ,race,gender,income
140122,2.37165245479468,Some of the time,Donald Trump,Disapprove not strongly,Disapprove strongly,Disapprove strongly,Independent,56,High school credential,"Black, non-Hispanic",Woman,2500
140123,1.27925163263241,Some of the time,Kamala Harris,Disapprove strongly,Disapprove not strongly,Disapprove not strongly,Independent-Democrat,44,High school credential,"White, non-Hispanic",Woman,47500
140124,0.818826098945428,About half the time,Kamala Harris,Approve not strongly,Approve not strongly,Disapprove not strongly,Strong Democrat,27,Bachelor’s degree,"White, non-Hispanic",Woman,42500
140125,2.32924494584669,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,58,High school credential,"White, non-Hispanic",Man,162500
140126,0.656062626570118,Most of the time,Kamala Harris,Approve strongly,Approve not strongly,Approve strongly,Strong Democrat,74,Graduate degree,"White, non-Hispanic",Woman,85000
140127,4.8774978929978,About half the time,Kamala Harris,Approve strongly,Disapprove strongly,Disapprove strongly,Strong Democrat,27,"Some post-high school, no bachelor’s degree",Hispanic,Woman,42500
140128,0.856729948732286,Most of the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Independent-Democrat,70,Graduate degree,"Black, non-Hispanic",Man,212500
140129,1.32055909355343,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,31,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,47500
140131,0.440282111568596,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,66,Bachelor’s degree,"White, non-Hispanic",Man,105000
140132,0.401912443321471,Always,Kamala Harris,Disapprove strongly,Disapprove strongly,Approve not strongly,Independent-Democrat,41,Graduate degree,"White, non-Hispanic",Man,250000
140133,0.942097428019297,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,56,High school credential,"White, non-Hispanic",Woman,NA
140134,0.737152983091711,Most of the time,Kamala Harris,Approve not strongly,Disapprove strongly,Approve not strongly,Not very strong Republican,56,Bachelor’s degree,"White, non-Hispanic",Man,212500
140135,0.466689179010632,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,80,Graduate degree,"White, non-Hispanic",Woman,117500
140136,0.441120849713635,Most of the time,Kamala Harris,Approve not strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,77,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,16250
140139,0.121446520832603,Most of the time,Kamala Harris,Approve strongly,Approve not strongly,Approve strongly,Strong Democrat,68,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,72500
140140,0.759031312654616,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,59,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,67500
140141,0.80756892086055,Some of the time,Kamala Harris,Disapprove strongly,Approve not strongly,Approve not strongly,Independent-Democrat,33,Graduate degree,"Black, non-Hispanic",Woman,85000
140142,0.600668584466588,Most of the time,Kamala Harris,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Democrat,38,"Some post-high school, no bachelor’s degree","Black, non-Hispanic",Woman,11250
140143,0.30212749361052,Some of the time,NA,Disapprove strongly,Disapprove strongly,Disapprove strongly,NA,49,Graduate degree,"White, non-Hispanic",Woman,212500
140144,0.195261306564041,Most of the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Strong Democrat,44,Graduate degree,"White, non-Hispanic",Man,250000
140145,4.99999998289759,Most of the time,Kamala Harris,Approve not strongly,Disapprove not strongly,Approve not strongly,Not very strong Democrat,53,"Some post-high school, no bachelor’s degree",Hispanic,Man,212500
140146,0.543386344094553,About half the time,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Strong Democrat,44,Graduate degree,"White, non-Hispanic",Man,137500
140147,2.73544945646793,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,80,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,137500
140149,0.258069127113438,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,71,Bachelor’s degree,"White, non-Hispanic",Man,42500
140150,0.330999360422765,About half the time,Kamala Harris,Disapprove not strongly,Disapprove not strongly,Approve not strongly,Independent-Republican,59,Bachelor’s degree,"White, non-Hispanic",Man,52500
140151,1.73414438880152,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,69,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,162500
140152,0.213290989129657,About half the time,Kamala Harris,Approve strongly,Approve not strongly,Approve not strongly,Strong Democrat,73,Graduate degree,"White, non-Hispanic",Woman,52500
140155,1.51480900019199,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Approve not strongly,Strong Republican,66,High school credential,"White, non-Hispanic",Man,105000
140156,0.715508785237306,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,54,Graduate degree,"White, non-Hispanic",Man,NA
140157,0.954414951327408,Never,Kamala Harris,Disapprove strongly,Approve not strongly,Approve strongly,Independent,50,High school credential,"Black, non-Hispanic",Woman,2500
140158,0.976923175846361,Most of the time,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Strong Democrat,71,"Some post-high school, no bachelor’s degree","Black, non-Hispanic",Woman,162500
140159,0.356125851845053,Always,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Not very strong Democrat,34,Bachelor’s degree,"White, non-Hispanic",Man,32500
140160,1.55577555023782,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,80,High school credential,"White, non-Hispanic",Man,105000
140161,1.04914412781717,Most of the time,Kamala Harris,Approve strongly,Disapprove not strongly,Approve not strongly,Strong Democrat,62,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,2500
140162,1.46254859944382,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,33,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,162500
