congress,bioname,state_abbrev,district_code,party,nominate_dim1,nominate_dim2
102,"HENRY, Paul B.",MI,5,Republican,0.264,-0.773
102,"UPTON, Frederick Stephen",MI,4,Republican,0.32,-0.355
102,"CAMP, David Lee",MI,10,Republican,0.385,-0.048
102,"COLLINS, Barbara-Rose",MI,13,Democrat,-0.648,-0.164
102,"OBERSTAR, James Louis",MN,8,Democrat,-0.553,0.304
102,"VENTO, Bruce Frank",MN,4,Democrat,-0.472,-0.376
102,"SABO, Martin Olav",MN,5,Democrat,-0.516,-0.317
102,"WEBER, John Vincent (Vin)",MN,2,Republican,0.381,-0.544
102,"PENNY, Timothy Joseph",MN,1,Democrat,-0.051,-0.502
102,"SIKORSKI, Gerald Edward",MN,6,Democrat,-0.217,-0.976
102,"RAMSTAD, James (Jim)",MN,3,Republican,0.316,-0.683
102,"PETERSON, Collin Clark",MN,7,Democrat,-0.148,0.712
102,"WHITTEN, Jamie Lloyd",MS,1,Democrat,-0.161,0.987
102,"MONTGOMERY, Gillespie V. (Sonny)",MS,3,Democrat,0.017,1
102,"ESPY, Alphonso Michael (Mike)",MS,2,Democrat,-0.386,0.432
102,"PARKER, Michael (Mike)",MS,4,Democrat,0.034,0.758
102,"TAYLOR, Gary Eugene (Gene)",MS,5,Democrat,-0.045,0.893
102,"CLAY, William Lacy, Sr.",MO,1,Democrat,-0.49,-0.872
102,"COLEMAN, Earl Thomas",MO,6,Republican,0.262,-0.265
102,"GEPHARDT, Richard Andrew",MO,3,Democrat,-0.416,0.245
102,"SKELTON, Isaac Newton, IV (Ike)",MO,4,Democrat,-0.172,0.724
102,"VOLKMER, Harold Lee",MO,9,Democrat,-0.196,0.329
102,"EMERSON, Norvell William (Bill)",MO,8,Republican,0.332,-0.125
102,"WHEAT, Alan Dupree",MO,5,Democrat,-0.465,-0.73
102,"HANCOCK, Melton D. (Mel)",MO,7,Republican,0.79,-0.048
102,"HORN, Joan Kelly",MO,2,Democrat,-0.288,-0.112
102,"MARLENEE, Ronald Charles",MT,2,Republican,0.393,-0.212
102,"WILLIAMS, John Patrick",MT,1,Democrat,-0.315,-0.138
102,"BEREUTER, Douglas Kent",NE,1,Republican,0.231,-0.347
102,"HOAGLAND, Peter J.",NE,2,Democrat,-0.209,-0.047
102,"BARRETT, William E.",NE,3,Republican,0.379,-0.073
102,"VUCANOVICH, Barbara Farrell",NV,2,Republican,0.441,-0.109
102,"BILBRAY, James Hubert",NV,1,Democrat,-0.184,0.258
102,"ZELIFF, William H., Jr.",NH,1,Republican,0.438,-0.461
102,"SWETT, Richard",NH,2,Democrat,-0.144,-0.141
102,"ROE, Robert A.",NJ,8,Democrat,-0.326,0.123
102,"RINALDO, Matthew John",NJ,7,Republican,0.023,-0.392
102,"HUGHES, William John",NJ,2,Democrat,-0.153,-0.204
102,"GUARINI, Frank Joseph, Jr.",NJ,14,Democrat,-0.295,-0.047
102,"DWYER, Bernard James",NJ,6,Democrat,-0.373,0.048
102,"ROUKEMA, Margaret Scafati",NJ,5,Republican,0.162,-0.701
102,"SMITH, Christopher Henry",NJ,4,Republican,0.181,-0.173
102,"TORRICELLI, Robert Guy",NJ,9,Democrat,-0.262,-0.118
102,"GALLO, Dean Anderson",NJ,11,Republican,0.203,-0.498
